"owner","route","description","pathParameters","source","context","shell","template","resourceType","policyNeeds","dataSource"
"admin","/app","Authenticated start page. Summarizes the signed-in principal, available teams, current active-team selection, and direct account/team-management actions without loading projects or operational domains.","No path parameters.","packages/admin/src/pages/app/index.astro","personal","AuthenticatedAppShell","dashboard","account","signed-in principal","Admin auth/session API facade"
"admin","/app/account","Identity settings route for public profile details, immutable username display, verified-email lifecycle, scoped-reauthenticated password setup/change, and explicit provider linking/unlinking without mixing session, notification, theme, or deletion concerns.","No path parameters.","packages/admin/src/pages/app/account/index.astro","personal","AuthenticatedAppShell","settings","account","signed-in principal","Admin auth/session API facade"
"admin","/app/account/appearance","Personal-theme manager that lists immutable built-ins and private user-created themes, validates guided light/dark palettes and WCAG contrast, and supports create, rename, edit, and guarded deletion. Theme activation remains exclusively in the authenticated shell selector.","No path parameters.","packages/admin/src/pages/app/account/appearance.astro","personal","AuthenticatedAppShell","settings","account","signed-in principal","Admin auth/session API facade"
"admin","/app/account/delete","Destructive account workflow that loads authoritative ownership/admin blockers, requires the exact confirmation phrase and a five-minute one-use scoped reauthentication grant or current password, then revokes sessions and purges account-owned identity data.","No path parameters.","packages/admin/src/pages/app/account/delete.astro","personal","AuthenticatedAppShell","settings","account","signed-in principal","Admin auth/session API facade"
"admin","/app/account/notifications","Notification preference editor with one account-wide email cadence, a canonical content-type selection inherited across authorized projects, optional exact-replacement project overrides, and browser-derived IANA timezone capture. In-app visibility remains immediate.","No path parameters.","packages/admin/src/pages/app/account/notifications.astro","personal","AuthenticatedAppShell","settings","account","signed-in principal","Admin auth/session API facade"
"admin","/app/account/sessions","Session collection for the signed-in principal. It identifies the current browser session, permits idempotent revocation of other sessions, and directs current-device termination through the CSRF-protected logout action.","No path parameters.","packages/admin/src/pages/app/account/sessions.astro","personal","AuthenticatedAppShell","settings","account","signed-in principal","Admin auth/session API facade"
"admin","/app/capacity","Bounded active-team capacity domain landing page.","No path parameters.","packages/admin/src/pages/app/domain-overview.astro","personal","AuthenticatedAppShell","collection","team","signed-in principal","Admin auth/session API facade"
"admin","/app/hosts","Bounded active-team hosting domain landing page.","No path parameters.","packages/admin/src/pages/app/domain-overview.astro","personal","AuthenticatedAppShell","collection","team","signed-in principal","Admin auth/session API facade"
"admin","/app/knowledge","Bounded active-team knowledge domain landing page.","No path parameters.","packages/admin/src/pages/app/domain-overview.astro","personal","AuthenticatedAppShell","collection","team","signed-in principal","Admin auth/session API facade"
"admin","/app/market","Bounded active-team catalog and billing domain landing page.","No path parameters.","packages/admin/src/pages/app/domain-overview.astro","personal","AuthenticatedAppShell","collection","team","signed-in principal","Admin auth/session API facade"
